,MSSubClass,MSZoning,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,MasVnrType,BsmtQual,BsmtExposure,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,LotFrontage,YrSold,SalePrice
572,60,RL,Timber,7,5,2009,Gable,None,Ex,Av,Gd,Y,846,1692,0,Gd,0,,Attchd,RFn,2,Y,83.0,2009,224500
47,20,FV,Somerst,8,5,2006,Gable,None,Gd,Av,Ex,Y,1656,1656,0,Gd,0,,Attchd,RFn,3,Y,84.0,2007,249700
106,30,RM,OldTown,4,7,1995,Mansard,None,Fa,No,Gd,Y,1047,1047,0,TA,0,,Detchd,Unf,1,N,60.0,2007,100000
349,60,RL,NridgHt,9,5,2006,Hip,BrkFace,Ex,No,Ex,Y,1848,2728,1,Ex,2,Ex,Attchd,Fin,3,Y,56.0,2006,437154
55,20,RL,NAmes,6,5,1964,Gable,BrkFace,TA,No,Gd,Y,1425,1425,0,TA,1,Gd,Attchd,RFn,2,Y,100.0,2008,180500
1443,30,RL,BrkSide,6,6,1950,Gable,None,TA,No,Fa,N,952,952,0,Fa,1,Gd,Detchd,Unf,1,P,,2009,121000
213,20,RL,CollgCr,5,5,1995,Gable,None,Gd,No,Ex,Y,990,990,0,TA,0,,Attchd,Unf,2,Y,43.0,2006,156000
120,80,RL,ClearCr,6,5,1969,Flat,None,TA,Gd,Ex,Y,988,988,1,TA,2,TA,Attchd,Unf,2,Y,,2006,180000
1206,20,RH,SawyerW,4,4,1966,Gable,None,TA,No,TA,Y,1056,1056,1,TA,0,,Detchd,Unf,1,Y,,2006,107000
1388,20,RL,Gilbert,9,5,2007,Gable,Stone,Ex,Gd,Ex,Y,1746,1746,1,Ex,2,Gd,Attchd,Fin,3,Y,42.0,2009,377500
72,60,RL,Gilbert,7,5,1998,Gable,BrkFace,Gd,No,Gd,Y,885,1718,0,TA,1,TA,Attchd,Fin,2,Y,74.0,2009,185000
743,80,RL,Sawyer,5,6,1999,Gable,None,Gd,Av,Ex,Y,1464,1464,0,TA,1,TA,Attchd,RFn,2,Y,70.0,2009,175000
1188,60,RL,CollgCr,7,5,2002,Gable,BrkFace,Gd,No,Ex,Y,831,1660,0,Gd,0,,Attchd,RFn,2,Y,68.0,2009,195000
45,120,RL,NridgHt,9,5,2005,Hip,BrkFace,Ex,No,Ex,Y,1752,1752,1,Ex,1,Gd,Attchd,RFn,2,Y,61.0,2010,319900
1230,90,RL,Sawyer,5,5,1977,Shed,None,Gd,No,Ex,Y,1361,2620,0,TA,1,TA,BuiltIn,RFn,2,N,,2007,190000
523,60,RL,Edwards,10,5,2008,Hip,Stone,Ex,Gd,Ex,Y,3138,4676,1,Ex,1,Gd,BuiltIn,Fin,3,Y,130.0,2007,184750
826,45,RM,BrkSide,5,6,1950,Gable,None,TA,No,Gd,Y,784,784,1,Gd,0,,,,0,Y,50.0,2008,109500
867,20,RL,Sawyer,4,5,1961,Gable,None,TA,No,TA,Y,1120,1120,1,Fa,0,,Attchd,RFn,2,Y,85.0,2007,129000
1199,20,RL,Sawyer,4,5,1979,Gable,BrkFace,TA,No,Gd,Y,1382,1382,0,TA,1,Po,Attchd,Unf,2,Y,75.0,2006,148000
757,60,RL,Sawyer,6,5,1978,Hip,BrkCmn,TA,Mn,TA,Y,672,1386,0,TA,1,TA,Attchd,Fin,2,Y,,2010,158900
533,20,RL,BrkSide,1,3,1950,Gable,None,,,Fa,N,334,334,0,Fa,0,,,,0,N,50.0,2007,39300
603,160,FV,Somerst,7,5,2005,Gable,None,Gd,No,Ex,Y,600,1200,0,Gd,0,,Detchd,RFn,2,Y,30.0,2010,151000
465,120,RM,Blmngtn,7,5,2004,Hip,BrkFace,Gd,No,Ex,Y,1414,1414,0,Gd,1,TA,Attchd,Fin,2,Y,,2006,178740
1391,90,RL,NAmes,5,5,1967,Gable,None,TA,No,TA,Y,1584,1584,0,TA,0,,Detchd,Unf,3,Y,65.0,2009,124000
1244,70,RL,Crawfor,8,7,1950,Gable,None,Gd,No,Fa,Y,792,1517,0,Gd,2,Gd,Detchd,Unf,2,Y,,2006,230000
1080,20,RL,NWAmes,6,7,2004,Gable,BrkFace,TA,No,Ex,Y,1258,1258,0,Gd,0,,Attchd,RFn,2,Y,80.0,2008,145000
904,20,RL,Sawyer,5,6,1967,Gable,BrkFace,TA,No,TA,Y,902,902,0,TA,0,,Attchd,Unf,1,Y,,2007,125500
60,20,RL,SawyerW,6,5,2004,Gable,None,Gd,No,Ex,Y,1158,1158,1,Gd,0,,Detchd,Unf,2,Y,63.0,2006,158000
92,30,RL,Crawfor,5,7,2006,Gable,None,Gd,No,Ex,Y,964,964,1,TA,0,,Detchd,Unf,2,Y,80.0,2009,163500
666,60,RL,NAmes,6,5,1979,Flat,BrkCmn,Gd,No,TA,Y,1465,2380,0,TA,1,Po,CarPort,Unf,2,Y,,2007,129000
727,20,RL,CollgCr,7,5,2007,Gable,Stone,Gd,Av,Ex,Y,1232,1232,1,Gd,0,,Attchd,RFn,2,Y,64.0,2009,194500
194,20,RL,CollgCr,5,7,1972,Hip,None,TA,Av,TA,Y,864,864,0,TA,0,,Detchd,Unf,1,Y,60.0,2008,127000
280,60,RL,SawyerW,7,6,1989,Gable,BrkFace,Gd,Av,Gd,Y,1175,1982,0,Gd,1,TA,Attchd,Fin,2,Y,82.0,2007,228500
359,60,RL,NoRidge,8,5,1998,Gable,BrkFace,Gd,Av,Ex,Y,1086,1924,1,Gd,1,TA,Attchd,RFn,2,Y,78.0,2006,280000
519,70,RL,Crawfor,7,9,2004,Gambrel,None,Gd,No,Ex,Y,1276,2080,0,Gd,2,Gd,Detchd,Unf,1,Y,53.0,2009,234000
1455,60,RL,Gilbert,6,5,2000,Gable,None,Gd,No,Ex,Y,953,1647,0,TA,1,TA,Attchd,RFn,2,Y,62.0,2007,175000
923,120,RL,SawyerW,6,5,1994,Gable,None,Gd,No,Ex,Y,1617,1617,1,Gd,1,Fa,Attchd,RFn,2,Y,50.0,2008,193000
182,20,RL,Edwards,5,6,2006,Hip,BrkFace,,,Ex,Y,1340,1340,0,TA,1,Gd,Attchd,RFn,1,Y,60.0,2007,120000
987,20,RL,NridgHt,9,5,2010,Hip,Stone,Ex,Av,Ex,Y,1940,1940,1,Ex,1,Gd,Attchd,Fin,3,Y,83.0,2010,395192
110,50,RL,Edwards,6,4,1972,Gable,None,TA,No,Gd,Y,1216,1855,0,TA,0,,Attchd,Unf,1,Y,75.0,2006,136900
42,85,RL,SawyerW,5,7,1983,Gable,None,Gd,Av,Gd,Y,884,884,1,Gd,0,,Attchd,RFn,2,Y,,2007,144000
1236,160,RL,NridgHt,7,5,2003,Gable,Stone,Gd,No,Ex,Y,764,1626,0,Gd,0,,BuiltIn,RFn,2,Y,36.0,2010,175500
204,50,RM,OldTown,5,7,1950,Gable,None,TA,No,TA,Y,720,1284,0,TA,0,,Detchd,Unf,1,Y,50.0,2009,110000
983,60,RL,CollgCr,8,5,2002,Gable,None,Gd,Mn,Ex,Y,1149,2290,0,Gd,1,Gd,Attchd,Unf,2,Y,,2008,255900
52,90,RM,IDOTRR,5,5,1963,Gable,None,Gd,Gd,TA,N,816,816,1,TA,0,,CarPort,Unf,2,Y,110.0,2010,110000
545,50,RL,NWAmes,7,5,1988,Gable,BrkFace,Gd,No,Gd,Y,1377,2183,0,Gd,0,,Attchd,Unf,3,Y,,2006,229000
945,50,RM,OldTown,5,6,1996,Hip,None,TA,No,TA,Y,1188,1869,0,TA,0,,Detchd,Unf,2,Y,98.0,2009,124900
852,75,RL,Crawfor,7,5,1950,Gable,None,TA,No,Gd,Y,918,1646,0,TA,2,Gd,Detchd,Unf,1,Y,53.0,2007,164000
1413,20,RL,SawyerW,8,5,2006,Gable,Stone,Gd,No,Ex,Y,1844,1844,1,Gd,1,Gd,Attchd,Fin,2,Y,88.0,2009,257000
1375,20,RL,Timber,8,5,2007,Gable,BrkFace,Gd,Gd,Ex,Y,1571,1571,0,Gd,1,Gd,Attchd,Fin,3,Y,89.0,2007,239000
183,50,RM,OldTown,7,5,2003,Gable,None,Gd,No,Ex,Y,1362,2082,0,Gd,0,,Detchd,Unf,2,N,63.0,2008,200000
137,90,RL,Mitchel,7,5,1989,Gable,BrkFace,TA,No,Gd,Y,1959,1959,0,TA,0,,2Types,Unf,3,Y,82.0,2006,171000
926,60,RL,NridgHt,8,5,2004,Hip,BrkFace,Gd,No,Ex,Y,1234,2374,0,Ex,1,Gd,BuiltIn,Fin,3,Y,93.0,2007,285000
80,60,RL,NAmes,6,6,1968,Gable,BrkFace,Gd,No,TA,Y,1182,2142,0,Gd,1,Gd,Attchd,Fin,1,Y,100.0,2009,193500
1364,160,FV,Somerst,7,5,2005,Gable,None,Gd,No,Ex,Y,520,1200,0,Gd,0,,Detchd,RFn,2,Y,30.0,2006,144152
105,60,FV,Somerst,8,5,2004,Hip,BrkFace,Ex,No,Ex,Y,1053,1992,0,Gd,1,Gd,Attchd,RFn,2,Y,75.0,2008,250000
541,60,RL,NoRidge,8,5,2000,Gable,BrkFace,Gd,No,Ex,Y,997,2285,0,Gd,1,TA,BuiltIn,Fin,3,Y,,2007,248000
706,20,RL,ClearCr,7,5,2002,Gable,Stone,Gd,Gd,TA,Y,1824,1824,1,Gd,2,TA,Attchd,Unf,2,Y,,2007,302000
480,20,RL,NridgHt,9,5,2005,Hip,BrkFace,Ex,Gd,Ex,Y,1850,1850,1,Gd,1,Gd,Attchd,Fin,3,Y,98.0,2006,326000
165,190,RL,Edwards,5,7,1999,Gable,None,TA,No,Gd,Y,808,1355,1,TA,0,,,,0,Y,62.0,2008,127500
248,60,RL,CollgCr,7,5,2003,Gable,BrkFace,Gd,No,Ex,Y,840,1668,0,Gd,0,,Attchd,RFn,2,Y,72.0,2007,180000
307,50,RM,IDOTRR,6,7,1950,Gable,None,TA,No,TA,Y,1035,1406,0,Fa,0,,,,0,N,,2008,89500
446,20,RL,NAmes,6,6,2002,Gable,None,TA,No,Ex,Y,1888,1888,0,Gd,1,Gd,Attchd,Fin,2,Y,137.0,2010,190000
712,120,RL,StoneBr,8,5,1989,Gable,None,Gd,Mn,Gd,Y,1228,1228,1,Gd,1,Gd,Attchd,Fin,2,Y,40.0,2008,189000
334,60,RL,Gilbert,6,5,1998,Gable,None,Gd,Gd,Gd,Y,943,1638,1,TA,2,TA,Attchd,Fin,2,Y,59.0,2008,192000
97,20,RL,Edwards,4,5,1965,Hip,BrkFace,TA,No,TA,Y,960,960,1,TA,0,,Attchd,Fin,1,P,73.0,2007,94750
724,20,RL,Edwards,9,5,2008,Hip,Stone,Ex,No,Ex,Y,1698,1698,1,Ex,1,Gd,Attchd,Fin,3,Y,86.0,2009,320000
905,20,RL,NAmes,5,5,1954,Gable,Stone,TA,No,TA,Y,1063,1063,1,TA,0,,Attchd,RFn,1,Y,80.0,2010,128000
899,20,RL,Sawyer,5,7,1994,Gable,None,TA,No,TA,Y,1236,1236,0,TA,1,TA,Attchd,Unf,1,Y,65.0,2006,135000
102,90,RL,SawyerW,5,5,1979,Gable,None,,,TA,Y,1535,1535,0,TA,0,,Attchd,Unf,2,Y,64.0,2009,118964
434,180,RM,MeadowV,4,7,1972,Gable,None,Gd,Av,Gd,Y,630,630,1,TA,0,,,,0,Y,21.0,2008,81000
1007,160,RM,MeadowV,4,4,1970,Gable,None,TA,No,TA,Y,546,1092,0,TA,0,,Attchd,RFn,1,Y,21.0,2009,88000
1305,20,RL,NridgHt,9,5,2007,Hip,Stone,Ex,No,Ex,Y,1652,1652,1,Ex,2,Ex,Attchd,Fin,2,Y,108.0,2009,325000
834,20,RL,NAmes,5,6,1961,Gable,BrkFace,TA,No,Gd,Y,1144,1144,1,TA,0,,Attchd,Unf,2,Y,75.0,2008,139950
1324,20,RL,Somerst,8,5,2007,Gable,BrkFace,Ex,Av,Ex,Y,1795,1795,0,Gd,1,Gd,Attchd,RFn,3,Y,75.0,2007,147000
302,20,RL,CollgCr,7,5,2002,Gable,BrkFace,Gd,No,Ex,Y,1541,1541,0,Gd,1,TA,Attchd,RFn,3,Y,118.0,2006,205000
1229,80,RL,NAmes,5,5,1960,Hip,None,TA,No,Gd,Y,1507,1507,0,TA,0,,Basment,Unf,1,Y,70.0,2008,127000
1191,160,FV,Somerst,8,5,2000,Gable,BrkFace,Gd,No,Ex,Y,764,1441,0,Gd,0,,Detchd,Unf,2,Y,24.0,2007,174000
388,20,RL,CollgCr,7,5,2000,Gable,BrkFace,Gd,No,Ex,Y,1479,1479,0,Gd,0,,Attchd,RFn,2,Y,93.0,2008,191000
235,160,RM,BrDale,6,3,1971,Gable,BrkFace,TA,No,TA,Y,483,987,0,TA,0,,Detchd,Unf,1,Y,21.0,2008,89500
1212,30,RL,Edwards,4,6,1950,Hip,None,TA,No,TA,Y,672,672,1,TA,0,,Attchd,Unf,1,N,50.0,2009,113000
267,75,RL,SWISU,5,8,1997,Gable,None,TA,No,Ex,Y,1052,2192,0,Gd,1,Gd,Detchd,Unf,1,Y,60.0,2008,179500
305,20,RL,CollgCr,8,5,2005,Gable,Stone,Gd,No,Ex,Y,2000,2000,1,Gd,0,,Attchd,Fin,3,Y,80.0,2007,305900
117,20,RL,Edwards,5,5,2007,Gable,None,Gd,No,Gd,Y,1125,1125,0,TA,0,,Attchd,Unf,2,Y,74.0,2007,155000
1179,20,RL,Edwards,5,5,1954,Gable,None,,,Gd,Y,1124,1124,0,TA,1,Gd,,,0,N,77.0,2006,93000
673,20,RL,Crawfor,6,7,2004,Hip,BrkFace,TA,No,Ex,Y,1839,1839,1,Gd,2,TA,Attchd,Fin,2,Y,110.0,2007,257500
249,50,RL,ClearCr,6,7,2006,Gable,BrkCmn,Gd,Gd,Gd,Y,1444,2144,0,Gd,2,TA,Attchd,Fin,2,Y,,2007,277000
1065,60,RL,ClearCr,7,5,1997,Gable,None,Ex,Gd,Ex,Y,1306,2260,1,Gd,0,,Attchd,RFn,2,Y,80.0,2010,328000
1052,60,RL,NAmes,6,6,1978,Gable,BrkCmn,TA,No,TA,Y,1127,1977,0,TA,1,TA,Attchd,RFn,2,Y,100.0,2007,165000
71,20,RL,Mitchel,4,6,2006,Gable,None,TA,No,TA,Y,845,845,1,TA,0,,Detchd,Unf,2,Y,69.0,2007,129500
94,60,RL,CollgCr,6,5,1997,Gable,None,Gd,No,Ex,Y,905,1786,1,Gd,0,,Attchd,RFn,2,Y,69.0,2007,204750
1440,70,RL,Crawfor,6,7,1994,Gable,None,Ex,No,Fa,Y,1423,2555,0,TA,1,Gd,Detchd,Fin,2,Y,79.0,2008,191000
33,20,RL,NAmes,5,5,1959,Hip,None,TA,No,Gd,Y,1700,1700,0,Gd,1,Gd,Attchd,RFn,2,Y,70.0,2010,165500
1167,60,RL,Gilbert,6,5,2000,Gable,None,Gd,No,Ex,Y,959,1671,1,TA,1,TA,Attchd,Fin,2,Y,58.0,2006,173000
448,50,RM,IDOTRR,6,6,1950,Gable,None,TA,No,TA,Y,780,1376,0,TA,1,Gd,Detchd,Unf,1,N,50.0,2006,119500
445,20,RL,Edwards,6,5,1956,Hip,None,TA,No,Fa,Y,1689,1689,0,TA,1,Gd,Attchd,Unf,2,Y,73.0,2009,127500
716,70,RM,OldTown,7,8,1998,Gable,None,TA,No,Ex,Y,1576,2554,0,TA,0,,Detchd,Unf,2,P,60.0,2007,159500
844,50,RM,OldTown,5,8,1950,Gable,None,TA,Mn,Gd,Y,876,1416,0,TA,1,Gd,Detchd,Unf,3,Y,100.0,2008,153900
1112,20,RL,NAmes,5,7,1957,Gable,None,TA,No,TA,Y,816,816,1,TA,0,,Detchd,Unf,1,Y,73.0,2006,129900
858,20,RL,NWAmes,7,5,1976,Gable,BrkFace,Gd,No,TA,Y,1370,1370,0,TA,1,TA,Attchd,RFn,2,Y,80.0,2009,152000
997,20,RL,NWAmes,6,6,1970,Hip,BrkFace,TA,No,TA,Y,1442,1442,0,TA,1,TA,Attchd,RFn,2,Y,,2009,185000
77,50,RM,BrkSide,5,5,2001,Gable,None,TA,No,TA,Y,1072,1285,1,TA,0,,Detchd,Unf,1,Y,50.0,2008,127000
84,80,RL,Gilbert,7,5,1996,Gable,BrkFace,Gd,No,Gd,Y,804,1474,0,TA,1,TA,BuiltIn,Fin,2,Y,,2009,168500
792,60,RL,NoRidge,7,5,1997,Gable,None,Gd,Av,Ex,Y,1127,2013,1,TA,1,TA,Attchd,Unf,2,Y,92.0,2007,269790
82,20,RL,Somerst,8,5,2007,Gable,Stone,Gd,No,Ex,Y,1563,1563,0,Gd,1,Gd,Attchd,RFn,3,Y,78.0,2008,245000
457,20,RL,ClearCr,4,6,1994,Flat,None,Gd,Gd,Ex,Y,1663,1663,1,Gd,2,Gd,Attchd,Fin,2,Y,,2008,256000
970,50,RL,NAmes,4,4,1950,Gable,None,TA,No,TA,N,720,1192,0,TA,0,,,,0,Y,60.0,2006,135000
676,70,RM,OldTown,4,2,1950,Gable,None,TA,No,Fa,N,1095,1774,1,TA,0,,2Types,Unf,3,N,60.0,2006,87000
938,60,RL,CollgCr,7,5,2006,Gable,None,Gd,Mn,Ex,Y,1391,1962,0,Gd,0,,Attchd,RFn,3,Y,73.0,2006,239799
1050,20,RL,Gilbert,7,5,2007,Gable,None,Gd,Av,Ex,Y,1302,1302,0,Gd,0,,Attchd,Fin,2,Y,73.0,2007,176485
436,50,RM,OldTown,6,8,1950,Gable,None,Fa,No,TA,Y,734,1118,0,TA,0,,Detchd,Unf,2,Y,40.0,2006,116000
644,20,FV,Somerst,9,5,2009,Gable,Stone,Ex,Mn,Ex,Y,1766,1766,1,Ex,1,Gd,Attchd,Fin,3,Y,85.0,2009,370878
780,20,RL,Gilbert,7,5,1996,Gable,BrkFace,Gd,No,Gd,Y,1253,1253,0,TA,1,TA,Attchd,Fin,2,Y,63.0,2007,176000
862,20,RL,SawyerW,6,5,1985,Hip,None,Gd,No,TA,Y,1097,1097,0,TA,0,,Attchd,Unf,2,Y,81.0,2010,152000
1357,20,RL,NAmes,5,6,2008,Gable,None,TA,No,Ex,Y,1078,1078,1,TA,1,Fa,Attchd,Fin,2,Y,,2010,149900
404,60,RL,Gilbert,6,5,1996,Gable,None,Gd,No,Gd,Y,806,1572,0,TA,1,TA,BuiltIn,Fin,2,Y,,2007,168000
1270,40,RL,ClearCr,7,6,1979,Shed,None,Gd,Gd,TA,Y,1332,1524,2,Gd,1,TA,Attchd,Fin,2,Y,,2010,260000
941,60,RL,Gilbert,7,5,1999,Gable,BrkFace,Gd,No,Ex,Y,1022,2060,1,Gd,1,TA,BuiltIn,RFn,2,Y,,2009,214000
944,20,RL,Timber,6,6,1958,Gable,BrkFace,TA,No,Gd,Y,1344,1344,0,Gd,1,Gd,Basment,RFn,2,Y,,2009,137500
104,50,RM,IDOTRR,7,4,1950,Gable,BrkFace,TA,No,Ex,Y,1226,1818,0,TA,2,TA,Detchd,Unf,1,Y,,2007,169500
609,20,RL,Sawyer,4,5,1961,Gable,BrkCmn,TA,Mn,Gd,Y,1029,1029,1,TA,0,,Attchd,Unf,1,Y,61.0,2007,118500
1068,160,RM,MeadowV,6,4,1973,Gable,None,Gd,No,Gd,Y,1291,2521,1,TA,1,Gd,Attchd,Fin,2,Y,42.0,2006,151400
993,60,RL,CollgCr,6,5,2006,Gable,None,Gd,No,Ex,Y,750,1500,0,Gd,0,,Attchd,RFn,2,Y,68.0,2006,173900
888,20,RL,NAmes,8,6,1970,Flat,None,TA,Gd,Ex,Y,2217,2217,1,Gd,1,TA,Attchd,Unf,2,Y,95.0,2007,268000
62,120,RL,NridgHt,8,5,2006,Gable,Stone,Gd,Mn,Ex,Y,1370,1370,0,Gd,1,Gd,Attchd,RFn,2,Y,44.0,2007,202500
281,20,FV,Somerst,6,5,2006,Gable,Stone,Gd,No,Gd,Y,1262,1262,0,Gd,0,,Attchd,Fin,2,Y,60.0,2006,185000
964,60,RL,Timber,7,5,2003,Gable,BrkFace,Gd,No,Ex,Y,824,1894,1,Gd,1,Gd,BuiltIn,Fin,2,Y,80.0,2010,214900
238,20,RL,NridgHt,8,5,2007,Hip,BrkFace,Ex,No,Ex,Y,1694,1694,0,Gd,0,,Attchd,Fin,3,Y,93.0,2007,318000
223,20,RL,NAmes,4,6,1971,Gable,None,TA,No,Gd,Y,864,864,0,TA,0,,Detchd,Unf,2,Y,70.0,2009,97000
145,160,RM,Edwards,6,5,2006,Gable,Stone,Gd,No,Ex,Y,970,1709,0,Gd,0,,Detchd,Unf,2,Y,24.0,2006,130000
1362,50,RL,NAmes,4,4,2007,Gable,None,TA,No,Gd,Y,1281,1738,0,TA,1,Gd,Attchd,Unf,1,Y,,2009,104900
373,20,RL,NAmes,5,6,1953,Gable,None,TA,No,TA,Y,1319,1319,1,TA,0,,Attchd,Unf,1,Y,79.0,2009,123000
118,60,RL,SawyerW,7,5,1990,Hip,None,Gd,Mn,Gd,Y,1699,3222,1,Gd,2,TA,Attchd,Unf,3,Y,90.0,2010,320000
1096,70,RM,IDOTRR,6,7,2006,Gable,None,TA,No,TA,Y,773,1355,0,Gd,0,,,,0,Y,60.0,2007,127000
250,30,RL,BrkSide,3,2,1966,Gable,None,TA,No,Ex,Y,1306,1306,0,Fa,0,,,,0,Y,55.0,2010,76500
1406,85,RL,CollgCr,5,7,2007,Gable,None,Gd,Av,TA,Y,768,768,1,TA,0,,Detchd,Unf,2,Y,70.0,2009,133000
9,190,RL,BrkSide,5,6,1950,Gable,None,TA,No,Ex,Y,1077,1077,1,TA,2,TA,Attchd,RFn,1,Y,50.0,2008,118000
449,50,RM,OldTown,3,7,2002,Gable,None,TA,No,Ex,Y,679,1183,0,TA,0,,Detchd,Unf,1,Y,50.0,2007,120000
708,60,RL,Gilbert,7,5,2007,Hip,None,Gd,Av,Ex,Y,728,1456,0,Gd,1,Gd,Attchd,Fin,2,Y,65.0,2007,179540
255,60,RL,Gilbert,7,5,1999,Gable,BrkFace,Gd,No,Ex,Y,1005,2291,0,Gd,1,TA,BuiltIn,Fin,2,Y,66.0,2006,230000
593,120,RM,CollgCr,6,5,2003,Gable,BrkFace,Gd,Av,Ex,Y,848,848,1,Gd,0,,Attchd,Fin,2,Y,,2009,140000
389,60,RL,NridgHt,10,5,2008,Gable,Stone,Ex,Av,Ex,Y,1742,2332,1,Ex,1,Ex,BuiltIn,Fin,3,Y,96.0,2008,426000
1202,50,RM,BrkSide,5,8,1997,Gable,None,TA,No,Ex,Y,884,1348,1,TA,1,Fa,Detchd,Unf,1,N,50.0,2009,117000
1168,70,RL,Edwards,6,7,1986,Hip,None,TA,No,Ex,Y,1236,2108,0,Gd,2,TA,Basment,Unf,2,Y,120.0,2008,235000
557,50,C (all),IDOTRR,4,6,1950,Gable,None,TA,No,Gd,Y,897,1336,0,TA,0,,CarPort,Unf,1,Y,60.0,2006,108000
1298,60,RL,Edwards,10,5,2008,Hip,Stone,Ex,Gd,Ex,Y,4692,5642,2,Ex,3,Gd,Attchd,Fin,2,Y,313.0,2008,160000
1424,20,RL,NAmes,5,5,1983,Hip,None,TA,No,TA,Y,1344,1344,1,TA,1,TA,Detchd,Unf,1,Y,,2007,144000
460,60,FV,Somerst,8,5,2009,Gable,Stone,Gd,No,Ex,Y,832,1935,1,TA,0,,BuiltIn,Fin,2,Y,75.0,2009,263435
723,50,RL,Edwards,4,6,1972,Gable,None,TA,No,Ex,Y,997,1470,0,TA,0,,Detchd,Unf,1,Y,60.0,2008,135000
1346,20,RL,NWAmes,7,7,2003,Hip,None,TA,No,TA,Y,2156,2156,0,TA,1,Gd,Attchd,RFn,2,Y,,2006,262500
144,90,RM,Sawyer,5,5,1963,Gable,BrkFace,TA,No,TA,Y,1728,1728,1,TA,0,,Detchd,Unf,2,Y,70.0,2006,125000
501,60,FV,Somerst,7,5,2005,Gable,None,Gd,No,Gd,Y,866,1768,0,Gd,0,,Attchd,RFn,2,Y,75.0,2008,226700
1070,20,RL,NAmes,5,5,1956,Hip,BrkFace,TA,No,TA,Y,1048,1048,1,TA,0,,Attchd,Unf,1,Y,72.0,2007,135000
739,60,RL,CollgCr,7,5,2004,Gable,None,Gd,No,Ex,Y,864,1728,0,Gd,0,,Attchd,RFn,2,Y,65.0,2009,190000
1349,70,RM,OldTown,8,5,1987,Gable,None,TA,No,Fa,N,938,2358,0,TA,0,,,,0,Y,50.0,2008,122000
731,80,RL,Timber,7,5,2003,Gable,BrkFace,Ex,Av,Ex,Y,1146,1146,1,Gd,1,Gd,Attchd,Fin,2,Y,73.0,2007,187500
539,20,RL,CollgCr,8,5,2002,Gable,BrkFace,Gd,Av,Ex,Y,1601,1601,1,Gd,1,TA,Attchd,RFn,2,Y,,2010,272000
177,50,RL,Sawyer,5,5,1958,Gable,None,TA,No,Ex,Y,1252,1920,1,Gd,1,Gd,Attchd,Unf,2,Y,,2006,172500
1408,70,RM,OldTown,4,7,1950,Gable,None,Fa,No,Gd,Y,741,1363,0,TA,0,,Detchd,Unf,2,Y,60.0,2010,125500
697,20,RL,Edwards,5,7,1952,Gable,None,Ex,Mn,Fa,Y,1148,1148,0,TA,0,,Detchd,Unf,1,Y,57.0,2006,123500
1402,20,RL,CollgCr,7,5,2006,Gable,None,Gd,Av,Ex,Y,1294,1294,0,Gd,1,Gd,Attchd,RFn,2,Y,64.0,2006,193879
1022,50,RM,OldTown,5,5,1950,Gable,None,TA,No,Gd,Y,912,1248,0,TA,0,,Detchd,Unf,1,Y,52.0,2007,87000
1116,80,RL,Gilbert,8,5,2002,Hip,None,Gd,No,Ex,Y,779,1419,1,Gd,1,TA,BuiltIn,Fin,2,Y,,2009,184100
